uid,date,type,answer
u11,2023-01-13,stress,3
u11,2023-01-14,stress,2
u11,2023-01-15,stress,3
u11,2023-01-16,stress,2
u11,2023-01-17,stress,2
u11,2023-01-18,stress,3
u11,2023-01-19,stress,3
u11,2023-01-20,stress,3
u11,2023-01-21,stress,3
u11,2023-01-22,stress,3
u11,2023-01-23,stress,3
u11,2023-01-24,stress,2
u11,2023-01-25,stress,1
u11,2023-01-26,stress,1
u11,2023-01-27,stress,1
u11,2023-01-28,stress,3
u11,2023-01-29,stress,1
u11,2023-01-30,stress,3
u12,2023-01-01,stress,2
u12,2023-01-02,stress,2
u12,2023-01-03,stress,2
u12,2023-01-04,stress,3
u12,2023-01-05,stress,2
u12,2023-01-06,stress,1
u12,2023-01-07,stress,1
u12,2023-01-08,stress,1
u12,2023-01-09,stress,1
u12,2023-01-10,stress,2
u12,2023-01-11,stress,2
u12,2023-01-12,stress,1
u12,2023-01-13,stress,3
u12,2023-01-14,stress,1
u12,2023-01-15,stress,1
u12,2023-01-16,stress,2
u12,2023-01-17,stress,1
u12,2023-01-18,stress,2
u12,2023-01-19,stress,1
u12,2023-01-20,stress,2
u12,2023-01-21,stress,3
u12,2023-01-22,stress,3
u12,2023-01-23,stress,3
u12,2023-01-24,stress,3
u12,2023-01-25,stress,1
u12,2023-01-26,stress,1
u12,2023-01-27,stress,3
u12,2023-01-28,stress,3
u12,2023-01-29,stress,3
u12,2023-01-30,stress,3
u13,2023-01-01,stress,1
u13,2023-01-02,stress,1
u13,2023-01-03,stress,2
u13,2023-01-04,stress,2
u13,2023-01-05,stress,2
u13,2023-01-06,stress,1
u13,2023-01-07,stress,1
u13,2023-01-08,stress,1
u13,2023-01-09,stress,2
u13,2023-01-10,stress,1
u13,2023-01-11,stress,3
u13,2023-01-12,stress,3
u13,2023-01-13,stress,1
u13,2023-01-14,stress,2
u13,2023-01-15,stress,2
u13,2023-01-16,stress,2
u13,2023-01-17,stress,3
u13,2023-01-18,stress,2
u13,2023-01-19,stress,3
u13,2023-01-20,stress,2
u13,2023-01-21,stress,1
u13,2023-01-22,stress,1
u13,2023-01-23,stress,1
u13,2023-01-24,stress,3
u13,2023-01-25,stress,3
u13,2023-01-26,stress,3
u13,2023-01-27,stress,3
u13,2023-01-28,stress,3
u13,2023-01-29,stress,1
u13,2023-01-30,stress,3
u14,2023-01-01,stress,1
u14,2023-01-02,stress,2
u14,2023-01-03,stress,2
u14,2023-01-04,stress,3
u14,2023-01-05,stress,1
u14,2023-01-06,stress,1
u14,2023-01-07,stress,1
u14,2023-01-08,stress,1
u14,2023-01-09,stress,3
u14,2023-01-10,stress,3
u14,2023-01-11,stress,1
u14,2023-01-12,stress,1
u14,2023-01-13,stress,1
u14,2023-01-14,stress,2
u14,2023-01-15,stress,2
u14,2023-01-16,stress,1
u14,2023-01-17,stress,1
u14,2023-01-18,stress,2
u14,2023-01-19,stress,3
u14,2023-01-20,stress,2
u14,2023-01-21,stress,3
u14,2023-01-22,stress,3
u14,2023-01-23,stress,3
u14,2023-01-24,stress,2
u14,2023-01-25,stress,3
u14,2023-01-26,stress,2
u14,2023-01-27,stress,3
u14,2023-01-28,stress,1
u14,2023-01-29,stress,2
u14,2023-01-30,stress,2
u15,2023-01-01,stress,1
u15,2023-01-02,stress,2
u15,2023-01-03,stress,2
u15,2023-01-04,stress,2
u15,2023-01-05,stress,3
u15,2023-01-06,stress,3
u15,2023-01-07,stress,3
u15,2023-01-08,stress,1
u15,2023-01-09,stress,3
u15,2023-01-10,stress,3
u15,2023-01-11,stress,1
u15,2023-01-12,stress,1
u15,2023-01-13,stress,2
u15,2023-01-14,stress,1
u15,2023-01-15,stress,1
u15,2023-01-16,stress,2
u15,2023-01-17,stress,2
u15,2023-01-18,stress,2
u15,2023-01-19,stress,2
u15,2023-01-20,stress,2
u15,2023-01-21,stress,3
u15,2023-01-22,stress,1
u15,2023-01-23,stress,2
u15,2023-01-24,stress,3
u15,2023-01-25,stress,2
u15,2023-01-26,stress,1
u15,2023-01-27,stress,2
u15,2023-01-28,stress,3
u15,2023-01-29,stress,2
u15,2023-01-30,stress,2
u16,2023-01-01,stress,1
u16,2023-01-02,stress,1
u16,2023-01-03,stress,3
u16,2023-01-04,stress,3
u16,2023-01-05,stress,2
u16,2023-01-06,stress,2
u16,2023-01-07,stress,2
u16,2023-01-08,stress,1
u16,2023-01-09,stress,1
u16,2023-01-10,stress,3
u16,2023-01-11,stress,1
u16,2023-01-12,stress,2
u16,2023-01-13,stress,2
u16,2023-01-14,stress,2
u16,2023-01-15,stress,2
u16,2023-01-16,stress,1
u16,2023-01-17,stress,1
u16,2023-01-18,stress,1
u16,2023-01-19,stress,3
u16,2023-01-20,stress,2
u16,2023-01-21,stress,3
u16,2023-01-22,stress,3
u16,2023-01-23,stress,2
u16,2023-01-24,stress,2
u16,2023-01-25,stress,1
u16,2023-01-26,stress,3
u16,2023-01-27,stress,1
u16,2023-01-28,stress,2
u16,2023-01-29,stress,2
u16,2023-01-30,stress,3
u17,2023-01-01,stress,1
u17,2023-01-02,stress,2
u17,2023-01-03,stress,1
u17,2023-01-04,stress,3
u17,2023-01-05,stress,2
u17,2023-01-06,stress,2
u17,2023-01-07,stress,2
u17,2023-01-08,stress,1
u17,2023-01-09,stress,1
u17,2023-01-10,stress,3
u17,2023-01-11,stress,1
u17,2023-01-12,stress,2
u17,2023-01-13,stress,2
u17,2023-01-14,stress,1
u17,2023-01-15,stress,1
u17,2023-01-16,stress,1
u17,2023-01-17,stress,3
u17,2023-01-18,stress,1
u17,2023-01-19,stress,1
u17,2023-01-20,stress,3
u17,2023-01-21,stress,2
u17,2023-01-22,stress,1
u17,2023-01-23,stress,1
u17,2023-01-24,stress,1
u17,2023-01-25,stress,1
u17,2023-01-26,stress,2
u17,2023-01-27,stress,1
u17,2023-01-28,stress,1
u17,2023-01-29,stress,1
u17,2023-01-30,stress,3
u18,2023-01-01,stress,1
u18,2023-01-02,stress,2
u18,2023-01-03,stress,2
u18,2023-01-04,stress,1
u18,2023-01-05,stress,3
u18,2023-01-06,stress,1
u18,2023-01-07,stress,2
u18,2023-01-08,stress,2
u18,2023-01-09,stress,1
u18,2023-01-10,stress,1
u18,2023-01-11,stress,2
u18,2023-01-12,stress,3
u18,2023-01-13,stress,3
u18,2023-01-14,stress,1
u18,2023-01-15,stress,3
u18,2023-01-16,stress,3
u18,2023-01-17,stress,3
u18,2023-01-18,stress,3
u18,2023-01-19,stress,3
u18,2023-01-20,stress,2
u18,2023-01-21,stress,1
u18,2023-01-22,stress,2
u18,2023-01-23,stress,2
u18,2023-01-24,stress,2
u18,2023-01-25,stress,3
u18,2023-01-26,stress,3
u18,2023-01-27,stress,2
u18,2023-01-28,stress,3
u18,2023-01-29,stress,2
u18,2023-01-30,stress,3
u19,2023-01-01,stress,3
u19,2023-01-02,stress,3
u19,2023-01-03,stress,1
u19,2023-01-04,stress,1
u19,2023-01-05,stress,3
u19,2023-01-06,stress,1
u19,2023-01-07,stress,3
u19,2023-01-08,stress,1
u19,2023-01-09,stress,2
u19,2023-01-10,stress,3
u19,2023-01-11,stress,1
u19,2023-01-12,stress,2
u19,2023-01-13,stress,1
u19,2023-01-14,stress,3
u19,2023-01-15,stress,2
u19,2023-01-16,stress,2
u19,2023-01-17,stress,2
u19,2023-01-18,stress,2
u19,2023-01-19,stress,1
u19,2023-01-20,stress,3
u19,2023-01-21,stress,3
u19,2023-01-22,stress,3
u19,2023-01-23,stress,1
u19,2023-01-24,stress,2
u19,2023-01-25,stress,3
u19,2023-01-26,stress,2
u19,2023-01-27,stress,2
u19,2023-01-28,stress,1
u19,2023-01-29,stress,2
u19,2023-01-30,stress,3
